Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,298915721,3834.937112806859,13307762,170.73183776172417,2371669,5469303,70.16838386993334,40868,0.5243157148171242,6685,
United States of America,Americas,57535858,17382.295,4027033,1216.617,692531,826022,249.551,9280,2.804,1847
India,South-East Asia,35226386,2552.629,387582,28.086,117100,483178,35.013,2098,0.152,302
Brazil,Americas,22351104,10515.226,87270,41.057,27267,619513,291.454,696,0.327,129
The United Kingdom,Europe,14015069,20645.005,1267948,1867.761,179731,149515,220.244,1094,1.612,231
France,Europe,10902236,16762.521,1419654,2182.761,258245,122403,188.198,1441,2.216,201
Russian Federation,Europe,10618035,7275.893,118053,80.895,16735,314604,215.579,5744,3.936,787
Turkey,Europe,9786383,11603.618,345510,409.668,68413,83231,98.686,1033,1.225,156
Germany,Europe,7417995,8919.428,267573,321.731,56335,113632,136.632,1707,2.053,264
Italy,Europe,6975465,11695.659,994037,1666.687,219430,138474,232.177,1227,2.057,198
Spain,Europe,6922466,14625.15,501647,1059.834,0,89837,189.799,291,0.615,0
Iran (Islamic Republic of),Eastern Mediterranean,6201467,7383.319,10705,12.745,1171,131778,156.892,251,0.299,42
Argentina,Americas,5915695,13089.045,359456,795.331,95159,117346,259.639,235,0.52,52
Colombia,Americas,5219633,10258.13,81030,159.248,16259,130140,255.764,274,0.538,40
Indonesia,South-East Asia,4265187,1559.349,2467,0.902,518,144121,52.691,27,0.01,5
Poland,Europe,4191193,11041.619,82978,218.604,11901,99428,261.941,2374,6.254,117
Mexico,Americas,4029274,3125.097,51798,40.174,20626,299842,232.557,375,0.291,131
Ukraine,Europe,3696468,8452.207,28819,65.896,7177,97088,221.998,1189,2.719,192
South Africa,Africa,3504554,5909.006,58022,97.831,9858,92112,155.309,1051,1.772,551
Netherlands,Europe,3247900,18657.959,132209,759.491,24700,21041,120.873,150,0.862,12
Philippines,Western Pacific,2888917,2636.328,47899,43.711,17220,51743,47.219,370,0.338,81
Malaysia,Western Pacific,2776699,8579.062,22186,68.547,3543,31628,97.72,166,0.513,19
Czechia,Europe,2517475,23541.139,41546,388.5,6641,36507,341.38,328,3.067,32
Canada,Americas,2394674,6344.826,292204,774.211,39431,30524,80.875,271,0.718,68
